v_dot_hat,omega_dot_hat,v_dot_measured,omega_dot_measured
-0.720422,-0.289462,-0.744872,3.351709
-0.442148,-0.471571,-0.495702,0.209777
-0.131690,-0.999104,-0.212147,-3.730862
0.087898,-1.691832,-0.017611,-6.652948
0.132857,-2.293676,-0.007152,-7.230881
-0.021337,-2.575443,-0.187721,-5.174759
-0.324487,-2.440937,-0.477191,-1.441001
-0.665149,-1.988039,-0.765843,2.275367
-0.917187,-1.441389,-0.967343,4.454389
-0.996226,-1.029630,-1.036997,4.338335
-0.908702,-0.891528,-0.987957,2.219214
-0.754425,-1.014092,-0.893467,-0.579690
-0.663356,-1.238682,-0.847666,-2.361682
-0.718345,-1.353762,-0.905930,-2.050380
-0.916485,-1.210207,-1.054313,0.258563
-12.227866,6.239422,-10.233165,19.060572
-12.113193,8.202922,-9.893684,20.645890
-11.879171,11.501389,-9.266743,27.547781
-11.311546,17.296749,-9.266743,27.547781
-4.034643,16.723333,-6.677372,20.307897
2.062354,8.487731,-6.677372,20.307897
0.634056,3.878129,-6.677372,20.307897
-0.544726,7.580941,-1.217397,16.234457
0.386749,0.192508,-1.217397,16.234457
-0.054838,2.516408,0.505573,6.988344
0.250220,-1.428137,2.648946,-16.798992
0.092241,-0.445498,1.462339,2.544812
0.200291,-0.967325,2.012553,-1.419716
0.221220,-0.603992,1.922900,2.021509
0.384365,-0.938513,2.389401,-0.603545
0.683856,-1.780895,2.924361,-3.529344
1.151068,-3.140684,3.480002,-6.751167
1.620251,-4.631828,3.778004,-8.512916
1.861130,-5.746280,3.646902,-7.784837
1.782043,-6.041669,3.127054,-4.352196
1.511184,-5.454993,2.493983,0.404890
1.276869,-4.414504,2.054540,3.872715
1.217105,-3.500442,1.919453,4.364893
1.315552,-3.059460,2.004989,2.379775
1.480541,-3.135105,2.162868,-0.508379
1.598974,-3.506231,2.237222,-2.611127
1.572622,-3.776811,2.119141,-2.619446
1.378573,-3.576309,1.822252,-0.248658
1.101748,-2.795396,1.478476,3.361007
0.885756,-1.658559,1.238768,6.217718
